Year,Genre,NA_Sales_M,EU_Sales_M,JP_Sales_M
1980,Shooter,6.5600000000000005,0.43000000000000005,0.0
1981,Shooter,9.37,0.56,0.0
1982,Shooter,3.55,0.21,0.0
1983,Shooter,0.45,0.03,0.0
1984,Shooter,27.79,0.85,1.96
1985,Shooter,0.65,0.14,0.21
1986,Role-Playing,0.49,0.0,0.52
1986,Shooter,0.94,0.16,2.77
1987,Role-Playing,0.47,0.0,4.18
1987,Shooter,0.6599999999999999,0.03,0.0
1988,Role-Playing,0.1,0.0,5.78
1988,Shooter,0.47,0.03,0.0
1989,Role-Playing,0.0,0.0,2.2
1989,Shooter,0.4,0.39,0.36
1990,Role-Playing,0.08,0.0,4.42
1991,Role-Playing,0.24,0.09,2.81
1991,Shooter,1.06,0.38,0.5
1992,Role-Playing,0.0,0.0,6.83
1992,Shooter,0.02,0.0,0.26
1993,Role-Playing,0.25,0.07,5.25
1993,Shooter,1.61,0.51,0.89
1994,Role-Playing,0.86,0.0,6.2299999999999995
1994,Shooter,3.71,2.57,1.67
1995,Role-Playing,0.71,0.30000000000000004,13.09
1995,Shooter,0.7,0.48,2.85
1996,Role-Playing,12.78,11.040000000000001,18.78
1996,Shooter,3.28,2.14,1.11
1997,Role-Playing,5.31,3.4400000000000004,11.56
1997,Shooter,15.0,4.5,2.17
1998,Role-Playing,9.16,6.44,11.33
1998,Shooter,5.61,3.3600000000000003,0.36
1999,Role-Playing,17.29,11.17,18.7
1999,Shooter,7.77,3.73,0.29000000000000004
2000,Role-Playing,7.2,4.2,15.8
2000,Shooter,4.0,2.17,0.2
2001,Role-Playing,7.46,4.14,9.55
2001,Shooter,15.11,7.5,0.53
2002,Role-Playing,20.43,9.39,13.64
2002,Shooter,28.69,14.98,1.02
2003,Role-Playing,13.799999999999999,5.7,9.629999999999999
2003,Shooter,16.12,8.54,0.21
2004,Role-Playing,21.55,16.73,13.49
2004,Shooter,30.330000000000002,12.75,0.65
2005,Role-Playing,12.26,4.96,9.22
2005,Shooter,27.82,9.21,1.32
2006,Role-Playing,24.38,8.12,19.830000000000002
2006,Shooter,23.04,8.81,1.8900000000000001
2007,Role-Playing,20.58,8.85,14.45
2007,Shooter,46.32,24.91,1.6300000000000001
2008,Role-Playing,25.25,11.3,17.509999999999998
2008,Shooter,34.95,16.29,0.77
2009,Role-Playing,19.06,8.36,17.07
2009,Shooter,38.99,21.17,1.12
2010,Role-Playing,28.55,13.7,23.67
2010,Shooter,43.1,23.900000000000002,2.12
2011,Role-Playing,19.78,14.1,14.43
2011,Shooter,49.82,35.31,2.69
2012,Role-Playing,17.85,11.97,14.39
2012,Shooter,35.06,26.34,2.62
2013,Role-Playing,13.09,8.94,19.86
2013,Shooter,30.7,23.15,1.73
2014,Role-Playing,13.56,11.24,17.71
2014,Shooter,30.72,25.81,1.08
2015,Role-Playing,13.35,12.52,6.71
2015,Shooter,30.79,24.23,2.69
2016,Role-Playing,1.39,1.29,3.6300000000000003
2016,Shooter,7.44,7.7,0.61
2017,Role-Playing,0.0,0.0,0.04
